Name,Price,Market Cap,Volume(24h),Circulating Supply
Bitcoin,"$38,339.20",$719.52B,"$39,443,312,455","18,767,150 BTC"
Ethereum,"$2,331.30",$272.41B,"$24,276,025,137","116,848,594 ETH"
Tether,$1.00,$61.81B,"$75,106,677,590","61,810,332,357 USDT"
Binance Coin,$317.69,$53.42B,"$2,219,755,189","168,137,036 BNB"
Cardano,$1.33,$42.54B,"$2,399,987,397","32,041,069,499 ADA"
XRP,$0.6529,$30.21B,"$3,242,863,719","46,265,302,471 XRP"
Dogecoin,$0.2173,$28.38B,"$3,940,770,595","130,599,812,875 DOGE"
USD Coin,$1.00,$27.15B,"$3,119,094,047","27,139,473,316 USDC"
Polkadot,$14.60,$14.28B,"$1,435,569,269","978,314,881 DOT"
Binance USD,$1.00,$11.85B,"$6,587,343,691","11,849,828,487 BUSD"
