No.,Twitter Trending Hashtags,Tweet Volume
1,#MicDrop1B,260.3K Tweets
2,#IndiaKaSalaam,Under 10K Tweets
3,Varane,187.7K Tweets
4,#WorldAJITHISMDayIn7D,41K Tweets
5,#ShameonCaptainAmrinder,17.9K Tweets
6,#MUFC,118.7K Tweets
7,JANNAT VE RAINING TOMORROW,14.3K Tweets
8,Jai NTR,10.5K Tweets
9,Karnataka,60.1K Tweets
10,HERE WE GO,96.1K Tweets
11,Mizoram,Under 10K Tweets
12,SSR Justice Is Basic Right,133.1K Tweets
13,Maguire,15K Tweets
14,5000 mAh Battery,Under 10K Tweets
15,1 Billion,192.6K Tweets
16,Manchester United,100.1K Tweets
17,Nilesh Cabral,Under 10K Tweets
18,GT Explorer Master Edition,Under 10K Tweets
19,Ashish Kumar,Under 10K Tweets
20,Shah Jahan,14.5K Tweets
21,kyungsoo,638.7K Tweets
22,Javed,13.4K Tweets
23,Man Utd,53.3K Tweets
24,Stay Tuned,62.7K Tweets
25,Lilly,14.1K Tweets
26,Martial,19.7K Tweets
27,Mughals,Under 10K Tweets
28,2 PHONE TEASER OUT NOW,27.3K Tweets
29,Power Star,42.7K Tweets
30,Indian Armed Forces,Under 10K Tweets
31,Lingayat,Under 10K Tweets
32,Jay hind,Under 10K Tweets
33,Tractor,36.9K Tweets
34,taeyong,167.4K Tweets
35,Ranveer,Under 10K Tweets
36,Chief Minister,19.2K Tweets
37,Deepika,Under 10K Tweets
38,South India,Under 10K Tweets
39,Jawans,Under 10K Tweets
40,#KargilVijayDiwas,199K Tweets
41,#AbkiBaarDidiSarkar,19.5K Tweets
42,#realmeGT,Under 10K Tweets
43,#AAPvsBJPPowerDebate,11.7K Tweets
44,#AmazonPrimeDayTecnoCamon17Pro,Under 10K Tweets
45,#JannatVeOutTomorrow,14.5K Tweets
46,#Mimi,Under 10K Tweets
47,#Thimmarusu,18.3K Tweets
48,#manofmassesntr,33.5K Tweets
49,#BsyResigns,Under 10K Tweets
50,#RakeshTikait,Under 10K Tweets
